प्रथमोऽध्याय,प्रथम+अध्याय
कृत्यैर्ऋणे,कृत्यै+ऋणे
क्तेनाहोरात्रावयवा,क्तेन+अहोरात्रावयवा
पात्रेसमितादयश्च,पात्रेसंमितादय+च
पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीराश्च,पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीरा+च
प्रशंसावचनैश्च,प्रशंसावचनै+च
मयूरव्यंसकादयश्च,मयूरव्यंसकादय+च
द्वितीयतृतीयचतुर्थतुर्याण्यन्यतरस्याम्‌,द्वितीयतृतीयचतुर्थतुर्याणि+अन्यतरस्याम
ईषदकृता,ईषत+अकृता
याजकादिभिश्च,याजकादिभि+च
उपपदमतिङ,उपपदम+अतिङ
तृतीयाप्रभृतीन्यन्यतरस्याम्‌,तृतीयाप्रभृतीनि+अन्यतरस्याम
अनेकमन्यपदार्थे,अनेकम+अन्यपदार्थे
वाऽऽहिताग्न्यादिषु,वा+आहिताग्न्यादिषु
कालाध्वनोरत्यन्तसंयोगे,कालाध्वनो+अत्यन्तसंयोगे
नमःस्वस्तिस्वाहास्वधालंवषड्योगाच्च,नमःस्वस्तिस्वाहास्वधालंवषड्योगात+च
कर्तृकरणयोस्तृतीया,कर्त्तृकरणयो+तृतीया
सहयुक्तेऽप्रधाने,सहयुक्ते+अप्रधाने
येनाङ्गविकार,येन+अङ्गविकार
षष्ठ्यतसर्थप्रत्ययेन,षष्ठी+अतसर्थप्रत्ययेन
स्वामीश्वराधिपतिदायादसाक्षिप्रतिभूप्रसूतैश्च,स्वामीश्वराधिपतिदायादसाक्षिप्रतिभूप्रसूतै+च
साऽऽमन्त्रितम्‌,सा+आमन्त्रितम
दिवस्तदर्थस्य,दिव+तदर्थस्य
विभाषोपसर्गे,विभाषा+उपसर्गे
अधिकरणवाचिनश्च,अधिकरणवाचिन+च
अकेनोर्भविष्यदाधमर्ण्ययो,अकेनो+भविष्यदाधमर्ण्ययो
द्विगुरेकवचनम्‌,द्विगु+एकवचनम
अध्वर्युक्रतुरनपुंसकम्.,अध्वर्युक्रतु+अनपुंसकम
अध्ययनतोऽविप्रकृष्टाख्यानाम्‌,अध्ययनत+अविप्रकृष्टाख्यानाम
जातिरप्राणिनाम्‌,जाति+अप्राणिनाम
शूद्राणामनिरवसितानाम्‌,शूद्राणाम+अनिरवसितानाम
पूर्ववदश्ववडवौ,पूर्ववत+अश्ववडवौ
द्वितीयाटौस्स्वेन,द्वितीयाटौस्सु+एन
लुङ्सनोर्घसॢ,लुङ्सनो+घसॢ
घञपोश्च,घञपो+च
लिट्यन्यतरस्याम्‌,लिटि+अन्यतरस्याम
आत्मनेपदेष्वन्यतरस्याम्‌,आत्मनेपदेषु+अन्यतरस्याम
इङश्च,इङ+च
अस्तेर्भू,अस्ते+भू
